(C)	O
ENTIRE	O
TEXT	O
.	O
DURING	O
COURSE	O
OF	O
JUNE	O
12	O
CALL	O
BY	O
AMBASSADOR	null
,	O
FORMIN	PER.IND
RAISED	O
QUESTION	O
OF	O
NORTH	GPE.SPECIAL
KOREAN	GPE.SPECIAL
PARTICIPATION	O
IN	O
THE	O
U	GPE.SPECIAL
.S	GPE.SPECIAL
.	GPE.SPECIAL
OPEN	O
TABLE	O
TENNIS	O
TOURNAMENT	O
AND	O
ASKED	O
IF	O
THE	null
AMBASSADOR	null
HAD	O
ANY	O
FURTHER	O
WORD	O
FROM	O
WASHINGTON	GPE.NATION
ON	O
THAT	O
SUBJECT	O
.	O
AMBASSADOR	null
EXPLAINED	O
THAT	O
OUR	GPE.NATION
POSITION	O
ON	O
THIS	O
WAS	O
VERY	O
STRAIGHTFORWARD	O
.	O
UNDER	O
OUR	GPE.NATION
PRESENT	O
POLICY	O
OF	O
UNIVERSALITY	O
IN	O
SPORTS	O
COMPETITION	O
WE	GPE.NATION
COULD	O
NOT	O
BAR	O
THE	O
NORTH	GPE.SPECIAL
KOREAN	GPE.SPECIAL
TEAM	O
WITHOUT	O
VIOLATING	O
OUR	GPE.NATION
OWN	O
PRINCIPLES	O
.	O
HE	null
SAID	O
THAT	O
HE	null
HAD	O
FOUND	O
NO	O
INCLINATION	O
IN	O
WASHINGTON	GPE.SPECIAL
TO	O
CHANGE	O
OUR	GPE.NATION
PRESENT	O
POLICY	O
WITH	O
REGARD	O
TO	O
SPORTS	O
COMPETITION	O
.	O
HE	null
EXPRESSED	O
THE	O
OPINION	O
THAT	O
THIS	O
SHOULD	O
PRESENT	O
NO	O
GREAT	O
PROBLEM	O
ALTHOUGH	O
THE	O
TIMING	O
,	O
COINCIDING	O
WITH	O
THE	O
ROK	GPE.NATION
/U	GPE.NATION
.S	GPE.NATION
.	GPE.NATION
SUMMIT	O
,	O
WS	O
UNFORTUNATE	O
.	O
FORMIN	PER.IND
SAID	O
HE	PER.IND
UNDERSTOOD	O
THAT	O
IT	O
WAS	O
A	O
PRIVATE	O
INVI	O
-	O
TATION	O
AND	O
THAT	O
ACCEPTANCE	O
OF	O
THE	O
INVITATION	O
WAS	O
UP	O
TO	O
THE	GPE.NATION
NORTH	GPE.NATION
.	O
HOWEVER	O
,	O
WHETHER	O
OR	O
NOT	O
THE	GPE.SPECIAL
DPRK	GPE.SPECIAL
CITIZENS	GPE.SPECIAL
TRAVEL	O
TO	O
THE	GPE.SPECIAL
U	GPE.SPECIAL
.S	GPE.SPECIAL
.	GPE.SPECIAL
DEPENDED	O
UPON	O
THE	GPE.NATION
U	GPE.NATION
.S	GPE.NATION
.	GPE.NATION
GOVERNMENT	GPE.NATION
.	O
HE	PER.IND
REFERRED	O
TO	O
THE	O
RECENT	O
WORLD	O
COMPETITION	O
IN	O
PYONGYANG	GPE.SPECIAL
WHERE	O
THE	GPE.SPECIAL
ROK	GPE.SPECIAL
HAD	O
THE	O
DESIRE	O
AND	O
THE	O
RIGHT	O
TO	O
PARTICIPATE	O
AS	O
A	O
MEMBER	O
STATE	O
.	O
THE	O
REFUSAL	O
OF	O
PYONGYANG	GPE.NATION
TO	O
ALLOW	O
ROK	GPE.SPECIAL
PARTICIPATION	O
HAD	O
CREATED	O
VERY	O
BAD	O
FEELINGS	O
INDEED	O
.	O
HE	PER.IND
POINTED	O
OUT	O
THAT	O
THE	O
PYONGYANG	GPE.SPECIAL
MEET	O
WAS	O
INTERNATIONAL	O
IN	O
NATURE	O
AND	O
THUS	O
DIFFERENT	O
FROM	O
THE	O
U	GPE.SPECIAL
.S	GPE.SPECIAL
.	GPE.SPECIAL
OPEN	O
.	O
HE	PER.IND
SAID	O
THAT	O
THE	GPE.NATION
ROKG	GPE.NATION
UNDERSTOOD	O
THE	O
U	GPE.NATION
.S	GPE.NATION
.	GPE.NATION
POSITION	O
REGARDING	O
INTERNATIONAL	O
SPORTS	O
EVENTS	O
AND	O
THE	O
DIFFICULTY	O
OF	O
PRE	O
-	O
VENTING	O
PARTICIPATION	O
BY	O
SPECIFIC	O
STATES	O
.	O
HOWEVER	O
,	O
THE	GPE.NATION
ROKG	GPE.NATION
WAS	O
CONVINCED	O
THAT	O
IF	O
THE	GPE.NATION
USG	GPE.NATION
FULLY	O
UNDERSTOOD	O
THE	O
ROK	GPE.SPECIAL
POSITION	O
AND	O
THE	O
TRUE	O
FEELINGS	O
OF	O
THE	PER.GROUP
KOREAN	PER.GROUP
PEOPLE	PER.GROUP
REGARDING	O
THE	O
FORTHCOMING	O
U	GPE.SPECIAL
