TEOFILO	PER.IND
DE	PER.IND
LA	PER.IND
TORRE	PER.IND
,	O
ENGINEER	PER.IND
IN	PER.IND
CHARGE	PER.IND
OF	PER.IND
COSTA	PER.IND
RICAN	PER.IND
GEOTHERMAL	PER.IND
PROGRAM	PER.IND
,	O
CALLED	O
EMBOFF	PER.IND
JULY	O
18	O
TO	O
ADVISE	O
THAT	O
ICE	ORG.GOV
PERSONNEL	ORG.GOV
ARE	O
EXPECTING	O
A	O
VERY	O
HEAVY	O
WORKLOAD	O
TOWARD	O
END	O
OF	O
THIS	O
YEAR	O
AND	O
THAT	O
A	O
GEOTHERMAL	O
ENERGY	O
PROGRAM	O
WILL	O
BE	O
HELD	O
BY	O
JAPANESE	ORG.EDU
INSTITUTE	ORG.EDU
OF	ORG.EDU
TECHNOLOGY	ORG.EDU
TRANSFER	ORG.EDU
IN	O
SAN	GPE.SPECIAL
JOSE	GPE.SPECIAL
OCTOBER	O
17	O
-19	O
.	O
IN	O
VIEW	O
OF	O
THE	O
WORKLOAD	O
AND	O
THE	O
PROXIMITY	O
OF	O
JAPANESE	GPE.SPECIAL
PROGRAM	O
,	O
HE	PER.IND
WONDERED	O
IF	O
IT	O
WOULD	O
BE	O
POSSIBLE	O
TO	O
HOLD	O
THE	O
U	GPE.SPECIAL
.S	GPE.SPECIAL
.	GPE.SPECIAL
SALES	O
SEMINAR	O
IN	O
JANUARY	O
OR	O
FEBRUARY	O
1978	O
,	O
INSTEAD	O
OF	O
NOVEMBER	O
2	O
-7	O
,	O
1977	O
AS	O
NOW	O
SCHEDULED	O
.	O
EMBOFF	PER.IND
POINTED	O
OUT	O
THAT	O
THE	O
PLANNING	O
FOR	O
U	GPE.SPECIAL
.S	GPE.SPECIAL
.	GPE.SPECIAL
SEMINAR	O
WAS	O
WELL	O
ADVANCED	O
AND	O
INCLUDED	O
PROGRAMS	O
IN	O
MEXICO	GPE.SPECIAL
AND	O
GUATEMALA	GPE.SPECIAL
AS	O
WELL	O
AS	O
SAN	GPE.SPECIAL
JOSE	GPE.SPECIAL
.	O
IT	O
WOULD	O
THERE	O
-	O
FORE	O
APPEAR	O
VERY	O
DIFFICULT	O
TO	O
CHANGE	O
DATES	O
AT	O
THIS	O
STAGE	O
.	O
DE	PER.IND
LA	PER.IND
TORRE	PER.IND
AGREED	O
THAT	O
IF	O
SEMINAR	O
HELD	O
IN	O
NOVEMBER	O
ICE	ORG.GOV
WOULD	O
STILL	O
BE	O
WILLING	O
TO	O
ACT	O
AS	O
CO	O
-SPONSOR	O
INSOFAR	O
AS	O
ISSUING	O
INVITATIONS	O
TO	O
NEIGHBORING	O
COUNTRIES	O
BUT	O
WOULD	O
NOT	O
BE	O
ABLE	O
TO	O
PROVIDE	O
ADMINISTRATIVE	O
SUPPORT	O
.	O
JULY	O
19	O
EMBOFF	PER.IND
DISCUSSED	O
MATTER	O
OF	O
ICE	ORG.GOV
SUPPORT	O
FOR	O
SEMINAR	O
WITH	O
EXECUTIVE	PER.IND
PRESIDENT	PER.IND
ALEX	PER.IND
MEERRY	PER.IND
,	O
WHO	O
CON	O
-	O
FIRMED	O
THAT	O
WHILE	O
ICE	ORG.GOV
COULD	O
NOT	O
PROVIDE	O
ADMINISTRATIVE	O
SUPPORT	O
,	O
IT	ORG.GOV
WOULD	O
BE	O
WILLING	O
TO	O
INVITE	O
NEIGHBORING	O
COUNTRIES	O
TO	O
PARTICIPATE	O
AND	O
TO	O
PROVIDE	O
A	O
SUITABLE	O
MEETING	O
ROOM	O
IN	O
THE	O
ICE	ORG.GOV
BUILDING	O
FOR	O
THE	O
SEMINAR	O
.	O
PROVIDED	O
FUNDS	O
ARE	O
AVAILABLE	O
TO	O
COVER	O
ADMINISTRATIVE	O
SUPPORT	O
COSTS	O
(SIMULTANEOUS	O
TRANSLATION	O
,	O
PROGRAM	O
PREPARA	O
-	O
TION	O
,	O
REPRODUCTION	O
OF	O
DOCUMENTS	O
,	O
ETC	O
.)	O
WHICH	O
ICE	ORG.GOV
ORIGINALLY	O
WAS	O
EXPECTED	O
TO	O
PROVIDE	O
,	O
EMBASSY	ORG.GOV
CONTINUES	O
TO	O
FAVOR	O
HOLDING	O
SEMINAR	O
AS	O
PLANNED	O
IN	O
SAN	PER.IND
JOSE	PER.IND
.	O
HOWEVER	O
,	O
WE	ORG.GOV
WOULD	O
APPRECIATE	O
COMMENTS	O
FROM	O
STATE	ORG.GOV
,	O
COMMERCE	ORG.GOV
AND	O
OTHER	O
POSTS	O
.	O
KILDAY	PER.IND
